date,epu,count
2007-09-03,1.0,120
2007-09-04,0.0,137
2007-09-05,0.0,127
2007-09-06,1.0,102
2007-09-07,1.0,111
2007-09-08,0.0,75
2007-09-09,1.0,56
2007-09-10,1.0,110
2007-09-11,0.0,124
2007-09-12,0.0,113
2007-09-13,0.0,108
2007-09-14,1.0,105
2007-09-15,0.0,68
2007-09-16,0.0,69
2007-09-17,0.0,107
2007-09-18,2.0,124
2007-09-19,0.0,109
2007-09-20,1.0,122
2007-09-21,0.0,120
2007-09-22,0.0,81
2007-09-23,0.0,66
2007-09-24,1.0,113
2007-09-25,0.0,97
2007-09-26,0.0,134
2007-09-27,0.0,110
2007-09-28,2.0,95
2007-09-29,0.0,62
2007-09-30,0.0,76
2007-10-01,1.0,64
2007-10-02,0.0,28
2007-10-03,0.0,21
2007-10-04,1.0,25
2007-10-05,0.0,33
2007-10-06,0.0,24
2007-10-07,0.0,29
2007-10-08,1.0,119
2007-10-09,0.0,91
2007-10-10,0.0,121
2007-10-11,0.0,101
2007-10-12,2.0,103
2007-10-13,0.0,83
2007-10-14,0.0,98
2007-10-15,1.0,92
2007-10-16,0.0,64
2007-10-17,0.0,67
2007-10-18,1.0,82
2007-10-19,0.0,96
2007-10-20,0.0,69
2007-10-21,0.0,66
2007-10-22,0.0,72
2007-10-23,0.0,68
2007-10-24,0.0,116
2007-10-25,1.0,94
2007-10-26,1.0,93
2007-10-27,0.0,62
2007-10-28,0.0,51
2007-10-29,0.0,104
2007-10-30,0.0,112
2007-10-31,1.0,119
2007-11-01,0.0,119
2007-11-02,0.0,100
2007-11-03,0.0,62
2007-11-04,1.0,71
2007-11-05,2.0,109
2007-11-06,0.0,138
2007-11-07,0.0,119
2007-11-08,0.0,129
2007-11-09,1.0,131
2007-11-10,0.0,90
2007-11-11,0.0,74
2007-11-12,0.0,118
2007-11-13,1.0,129
2007-11-14,0.0,123
2007-11-15,0.0,122
2007-11-16,1.0,125
2007-11-17,0.0,72
2007-11-18,0.0,78
2007-11-19,1.0,132
2007-11-20,0.0,123
2007-11-21,1.0,115
2007-11-22,2.0,129
2007-11-23,1.0,126
2007-11-24,0.0,72
2007-11-25,0.0,81
2007-11-26,2.0,122
2007-11-27,0.0,136
2007-11-28,2.0,127
2007-11-29,1.0,110
2007-11-30,0.0,103
2007-12-01,0.0,79
2007-12-02,0.0,74
2007-12-03,0.0,126
2007-12-04,1.0,106
2007-12-05,0.0,133
2007-12-06,1.0,120
2007-12-07,1.0,108
2007-12-08,0.0,65
2007-12-09,0.0,90
2007-12-10,2.0,113
2007-12-11,1.0,130
2007-12-12,0.0,110
2007-12-13,4.0,117
2007-12-14,3.0,131
2007-12-15,0.0,89
2007-12-16,0.0,91
2007-12-17,2.0,129
2007-12-18,0.0,131
2007-12-19,0.0,110
2007-12-20,2.0,141
2007-12-21,0.0,114
2007-12-22,0.0,54
2007-12-23,0.0,87
2007-12-24,1.0,104
2007-12-25,1.0,101
2007-12-26,1.0,100
2007-12-27,1.0,86
2007-12-28,0.0,92
2007-12-29,1.0,123
2007-12-30,1.0,72
2007-12-31,0.0,61
2008-01-01,0.0,60
2008-01-02,0.0,109
2008-01-03,0.0,122
2008-01-04,0.0,110
2008-01-05,0.0,68
2008-01-06,1.0,67
2008-01-07,2.0,117
2008-01-08,0.0,115
2008-01-09,1.0,100
2008-01-10,0.0,107
2008-01-11,0.0,118
2008-01-12,1.0,74
2008-01-13,1.0,83
2008-01-14,0.0,101
2008-01-15,1.0,106
2008-01-16,1.0,110
2008-01-17,0.0,105
2008-01-18,0.0,133
2008-01-19,0.0,75
2008-01-20,1.0,65
2008-01-21,1.0,109
2008-01-22,0.0,108
2008-01-23,0.0,116
2008-01-24,1.0,120
2008-01-25,2.0,124
2008-01-26,0.0,79
2008-01-27,0.0,83
2008-01-28,1.0,113
2008-01-29,1.0,133
2008-01-30,1.0,127
2008-01-31,0.0,118
2008-02-01,1.0,115
2008-02-02,0.0,132
2008-02-03,0.0,135
2008-02-04,1.0,108
2008-02-05,0.0,124
2008-02-06,0.0,32
2008-02-07,0.0,24
2008-02-08,1.0,29
2008-02-09,0.0,33
2008-02-10,0.0,37
2008-02-11,0.0,26
2008-02-12,0.0,37
2008-02-13,1.0,107
2008-02-14,0.0,118
2008-02-15,0.0,115
2008-02-16,0.0,67
2008-02-17,0.0,60
2008-02-18,0.0,110
2008-02-19,2.0,107
2008-02-20,1.0,106
2008-02-21,0.0,121
2008-02-22,1.0,126
2008-02-23,0.0,90
2008-02-24,0.0,56
2008-02-25,1.0,124
2008-02-26,0.0,114
2008-02-27,1.0,105
2008-02-28,0.0,106
2008-02-29,0.0,86
